text,event_type
Powerful gusts uprooted a few trees near Indiranagar this evening.,strong_wind
The new mall near the hill station town is finally open for shopping.,other
Thick fog has reduced visibility to almost zero on the highway near the district headquarters.,fog
"Heatwave conditions reported in the district headquarters, several cases of heat exhaustion.",heatwave
"Dust storm reported in Whitefield, air quality has worsened significantly.",dust_storm
Unusually high temperatures recorded in the industrial area for the third day in a row.,heatwave
Thunderstorm with gusty winds lashing the outskirts of the city since early morning.,thunderstorm
"A wall of dust swept through the district headquarters since yesterday evening, shops shut their doors.",dust_storm
Visibility is very poor due to fog near the railway station road a few hours ago.,fog
Frequent lightning strikes reported in the sky over the market area late last night.,lightning
"A thunderstorm hit Jayanagar late last night, strong winds and rain together.",thunderstorm
Strong winds have damaged tin roofs near Koramangala just now.,strong_wind
Knee-deep water reported on the main road in Indiranagar since early morning.,flood
"The heat in Jayanagar is unbearable this morning, roads look almost empty.",heatwave
The cyclone is expected to make landfall by tonight near Hebbal.,cyclone
Hail has covered the ground like snow near MG Road area since last night.,hailstorm
Very strong winds knocked down a tree on the street in the hill station town.,strong_wind
Very strong winds knocked down a tree on the street in Indiranagar.,strong_wind
Fishermen near Indiranagar advised not to venture into the sea due to the cyclone.,cyclone
Powerful gusts uprooted a few trees near the industrial area this evening.,strong_wind
"The heat in the coastal village is unbearable since early morning, roads look almost empty.",heatwave
"Sudden hailstorm hit the old town, crops damaged badly.",hailstorm
Frequent lightning strikes reported in the sky over the coastal village since yesterday evening.,lightning
Thunderstorm with gusty winds lashing Yelahanka since yesterday evening.,thunderstorm
Visibility is very poor due to fog near Hebbal late last night.,fog
It has been raining heavily for hours in near the highway.,heavy_rainfall
Water has entered ground floor houses in Koramangala after the rains.,flood
"Temperature touched extreme highs today in the railway station road, unbearable heat since morning.",heatwave
"Cyclone alert issued for the airport road, schools shut as a precaution.",cyclone
"Strong dusty winds picked up near the coastal village, visibility dropping fast.",dust_storm
Water has entered ground floor houses in Whitefield after the rains.,flood
Coastal areas near Yelahanka being evacuated ahead of the approaching cyclone.,cyclone
"Cyclone alert issued for the riverside colony, schools shut as a precaution.",cyclone
"Lightning struck a tree near the park in the district headquarters just now, loud bang heard.",lightning
"Nonstop rain since last night, streets are waterlogged near the airport road.",heavy_rainfall
"Cyclone warning issued for the coastal district near Whitefield, evacuation started.",cyclone
Internet has been down in the old town since this morning.,other
The school near Jayanagar announced holidays for an exam schedule.,other
"The heat in the district headquarters is unbearable a few hours ago, roads look almost empty.",heatwave
"Thick dust clouds moving through MG Road area, people covering their faces.",dust_storm
"Sudden hailstorm hit the hill station town, crops damaged badly.",hailstorm
Powerful gusts uprooted a few trees near MG Road area this evening.,strong_wind
"It's extremely hot in the bus stand junction, feels like a heatwave, everyone staying indoors.",heatwave
"A lightning bolt hit a building near the district headquarters, minor damage reported.",lightning
"Lightning strike reported near near the highway, residents advised to stay indoors.",lightning
"A road accident was reported near MG Road area, traffic diverted.",other
"A thunderstorm hit the coastal village late last night, strong winds and rain together.",thunderstorm
"Sudden hailstorm hit the market area, crops damaged badly.",hailstorm
Heavy showers reported across the riverside colony since this afternoon with no sign of stopping.,heavy_rainfall
"Heatwave conditions reported in near the highway, several cases of heat exhaustion.",heatwave
"Streets in Koramangala are completely waterlogged and vehicles are stuck, just now.",flood
"Dense morning fog reported around Whitefield, flights and trains delayed.",fog
Farmers near Indiranagar report crop damage due to unexpected hailstorm.,hailstorm
"Cyclone alert issued for Koramangala, schools shut as a precaution.",cyclone
"Lightning strike reported near the riverside colony, residents advised to stay indoors.",lightning
"Cyclone alert issued for the market area, schools shut as a precaution.",cyclone
"Torrential rain lashing Whitefield for the past two hours, people advised to stay indoors.",heavy_rainfall
"Gusty winds are shaking windows in the market area, quite strong since last night.",strong_wind
"A thunderstorm hit the riverside colony just now, strong winds and rain together.",thunderstorm
"Streets in Jayanagar are completely waterlogged and vehicles are stuck, since last night.",flood
"Scorching heat continues in the low-lying colony for the past two hours, people advised to avoid stepping out.",heatwave
"Lightning strike reported near the hill station town, residents advised to stay indoors.",lightning
Farmers near the old town report crop damage due to unexpected hailstorm.,hailstorm
"Rain has not stopped this morning in near the highway, roads are slippery.",heavy_rainfall
"Streets in near the highway are completely waterlogged and vehicles are stuck, since last night.",flood
Strong winds have damaged tin roofs near the old town since early morning.,strong_wind
"Dust storm hit Hebbal suddenly, sky turned orange, hard to breathe outside.",dust_storm
"Strong dusty winds picked up near the hill station town, visibility dropping fast.",dust_storm
"Heavy hailfall reported in Koramangala, vehicles parked outside got dented.",hailstorm
Sudden lightning and thunder started around evening near the low-lying colony.,thunderstorm
"Heavy hailfall reported in the bus stand junction, vehicles parked outside got dented.",hailstorm
Coastal areas near Koramangala being evacuated ahead of the approaching cyclone.,cyclone
sudden rainfall has flooded the road near Yelahanka.,flood
Farmers near near the highway report crop damage due to unexpected hailstorm.,hailstorm
"Drainage has failed in MG Road area, water entering shops and houses since yesterday evening.",flood
Sudden lightning and thunder started around evening near the riverside colony.,thunderstorm
Visibility is very poor due to fog near Whitefield just now.,fog
"Dust storm hit Indiranagar suddenly, sky turned orange, hard to breathe outside.",dust_storm
"Hailstones the size of marbles are falling in the low-lying colony, damaging car windshields.",hailstorm
"Cyclone alert issued for MG Road area, schools shut as a precaution.",cyclone
The metro line extension to Hebbal was inaugurated today.,other
"Sudden hailstorm hit the bus stand junction, crops damaged badly.",hailstorm
"A thunderstorm hit Whitefield since yesterday evening, strong winds and rain together.",thunderstorm
Sudden lightning and thunder started around evening near Jayanagar.,thunderstorm
Water has entered ground floor houses in the outskirts of the city after the rains.,flood
The school near Whitefield announced holidays for an exam schedule.,other
"A wall of dust swept through the low-lying colony for the past two hours, shops shut their doors.",dust_storm
Hail has covered the ground like snow near the hill station town a few hours ago.,hailstorm
"Rain has not stopped this morning in MG Road area, roads are slippery.",heavy_rainfall
"Gusty winds are shaking windows in Whitefield, quite strong a few hours ago.",strong_wind
Sharp flashes of lightning visible over the industrial area for the last half hour.,lightning
The school near Yelahanka announced holidays for an exam schedule.,other
"Torrential rain lashing Hebbal late last night, people advised to stay indoors.",heavy_rainfall
"It's extremely hot in the industrial area, feels like a heatwave, everyone staying indoors.",heatwave
Several homes in Yelahanka are flooded after the canal overflowed since early morning.,flood
It has been raining heavily for hours in the outskirts of the city.,heavy_rainfall
Farmers near the outskirts of the city report crop damage due to unexpected hailstorm.,hailstorm
"Cyclone alert issued for the industrial area, schools shut as a precaution.",cyclone
Coastal areas near Jayanagar being evacuated ahead of the approaching cyclone.,cyclone
Local elections are scheduled next month in Koramangala.,other
"Nonstop rain late last night, streets are waterlogged near MG Road area.",heavy_rainfall
Knee-deep water reported on the main road in Yelahanka since yesterday evening.,flood
"continuous downpour continuing in Indiranagar, visibility very low.",heavy_rainfall
Powerful gusts uprooted a few trees near the outskirts of the city this evening.,strong_wind
"Fog has covered Hebbal completely since yesterday evening, traffic moving very slowly.",fog
Visibility is very poor due to fog near the old town starting around noon.,fog
Farmers near the coastal village report crop damage due to unexpected hailstorm.,hailstorm
Frequent lightning strikes reported in the sky over Jayanagar since last night.,lightning
Coastal areas near the low-lying colony being evacuated ahead of the approaching cyclone.,cyclone
It has been raining heavily for hours in the railway station road.,heavy_rainfall
"A lightning bolt hit a building near Whitefield, minor damage reported.",lightning
"Dust storm reported in the riverside colony, air quality has worsened significantly.",dust_storm
The cyclone is expected to make landfall by tonight near the airport road.,cyclone
"Dust storm hit the airport road suddenly, sky turned orange, hard to breathe outside.",dust_storm
Unusually high temperatures recorded in the riverside colony for the third day in a row.,heatwave
"Fog has covered Hebbal completely this morning, traffic moving very slowly.",fog
"Scorching heat continues in Jayanagar for the past two hours, people advised to avoid stepping out.",heatwave
The school near the railway station road announced holidays for an exam schedule.,other
"severe downpour continuing in Koramangala, visibility very low.",heavy_rainfall
Thunderstorm with gusty winds lashing the railway station road for the past two hours.,thunderstorm
Unusually high temperatures recorded in Jayanagar for the third day in a row.,heatwave
"Lightning strike reported near the market area, residents advised to stay indoors.",lightning
The football tournament finals were held in the bus stand junction yesterday.,other
"The river near the bus stand junction has crossed the danger mark, low-lying areas submerged.",flood
"Dust storm hit Koramangala suddenly, sky turned orange, hard to breathe outside.",dust_storm
"Strong dusty winds picked up near the industrial area, visibility dropping fast.",dust_storm
Internet has been down in near the highway since this morning.,other
